Date,Open,High,Low,Close,Adj Close,Volume
2014-03-24,903.7999877929688,908.7999877929688,889.5999755859375,903.9500122070312,865.8050537109375,116263
2014-03-25,896.0,902.4000244140624,890.9000244140625,895.0499877929688,857.2806396484375,78974
2014-03-26,891.0,897.2000122070312,884.4500122070312,891.0999755859375,853.4973754882812,87586
2014-03-27,877.0999755859375,925.0,877.0999755859375,911.5999755859376,873.1322021484375,266461
2014-03-28,905.0,915.0,901.0999755859376,912.2999877929688,873.802734375,132294
2014-03-31,902.0499877929688,918.0,902.0499877929688,916.4500122070312,877.777587890625,118241
2014-04-01,918.0,918.0,900.0,905.4500122070312,867.2417602539062,93671
2014-04-02,898.0,907.0499877929688,898.0,901.25,863.2190551757812,87840
2014-04-03,900.0499877929688,924.0,900.0,914.4000244140624,875.81396484375,262920
2014-04-04,915.0,919.9000244140624,898.2000122070312,900.0499877929688,862.069580078125,124194
2014-04-07,901.0999755859376,906.2999877929688,885.0,893.5999755859375,855.8917236328125,115761
2014-04-09,901.2999877929688,901.2999877929688,880.2999877929688,889.0,851.4859619140625,312115
2014-04-10,895.0,895.0,888.0,893.0499877929688,855.364990234375,92655
2014-04-11,893.0,905.0,883.0,896.4500122070312,858.62158203125,145225
